Id,TextTopics,TopicPercentages
99_3007_2,45,0.589218
99_3009_2,78,0.4082573
99_3016_2,78,0.5432902
99_3017_2,15,0.6832507
99_3018_2,78,0.5213279
99_3026_2,76,0.8828161
99_3033_2,7,0.68357295
99_3038_2,63,0.7939671
99_3040_2,46,0.49670598
99_3042_2,28,0.47027773
99_3043_2,61,0.6836806
99_3046_2,85,0.49785623
99_3048_2,78,0.6985171
99_3049_2,28,0.8438269
99_3051_2,78,0.5432902
99_3054_2,78,0.5432902
99_3058_2,30,0.43586892
99_3059_2,79,0.413222
99_3061_2,76,0.7639163
99_3063_2,28,0.6845811
99_3067_2,78,0.5432902
99_3068_2,79,0.68325007
99_3069_2,78,0.6717267
99_3073_2,18,0.5097745
99_3074_2,75,0.6875971
99_3075_2,81,0.6834218
99_3076_2,47,0.67493814
99_3078_2,46,0.8428024
99_3079_2,78,0.77499264
99_3081_2,61,0.6836806
99_3084_2,78,0.5941038
99_3087_2,14,0.69855595
99_3088_2,89,0.6883646
99_3089_2,82,0.6935699
99_3090_2,78,0.5432902
99_3091_2,35,0.81887335
99_3092_2,15,0.601115
99_3094_2,13,0.523247
99_3095_2,54,0.68287045
99_3096_2,82,0.5970809
99_3098_2,89,0.7674148
99_3099_2,30,0.5731019
99_3104_2,22,0.8112125
99_3105_2,85,0.5095855
99_3106_2,78,0.54329026
99_3107_2,78,0.47019115
99_3108_2,78,0.6985171
99_3109_2,45,0.7635437
99_3111_2,13,0.44138482
99_3112_2,78,0.5432902
99_3116_2,61,0.34677768
99_3118_2,85,0.53542995
99_3119_2,75,0.49576283
99_3120_2,76,0.3439814
99_3122_2,76,0.5208033
99_3128_2,15,0.3061817
99_3134_2,75,0.39122462
99_3138_2,78,0.77499276
99_3140_2,41,0.49542755
99_3143_2,70,0.43341056
99_3144_2,7,0.4422113
99_3153_2,78,0.69851714
99_3155_2,86,0.68264353
99_3158_2,89,0.3250857
99_3169_2,30,0.49794412
99_3171_2,78,0.3235287
99_3172_2,2,0.66084003
99_3175_2,71,0.6839597
99_3176_2,2,0.88249254
99_3177_2,28,0.68458724
99_3179_2,65,0.6041339
99_3181_2,78,0.5432902
99_3182_2,64,0.8115851
99_3183_2,78,0.6013038
99_3184_2,3,0.6836337
99_3187_2,78,0.6621429
99_3189_2,24,0.753131
99_3202_2,78,0.51870763
99_3203_2,78,0.5432902
99_3204_2,78,0.5316229
99_3205_2,40,0.8826683
99_3207_2,17,0.39274275
99_3208_2,78,0.7749927
99_3209_2,78,0.698517
99_3213_2,60,0.8114948
99_3214_2,60,0.7636795
99_3215_2,60,0.60915893
99_3217_2,60,0.7636795
99_3218_2,85,0.6827612
99_3219_2,60,0.5986275
99_3220_2,78,0.7749927
99_3223_2,60,0.490016
99_3224_2,60,0.68335843
99_3225_2,60,0.86580247
99_3226_2,78,0.698517
99_3227_2,60,0.5100143
99_3232_2,71,0.48511052
99_3234_2,75,0.4603458
99_3237_2,90,0.4560268
99_3238_2,72,0.48127577
99_3239_2,75,0.3072388
99_3243_2,75,0.49178362
99_3244_2,89,0.68836504
99_3245_2,78,0.69851714
99_3248_2,7,0.48974493
99_3250_2,78,0.5432902
99_3253_2,50,0.60125434
99_3256_2,71,0.7641279
99_3271_2,45,0.6831761
99_3272_2,45,0.5678798
99_3278_2,63,0.76364213
99_3279_2,78,0.5432902
99_3297_2,72,0.31732875
99_3301_2,42,0.5683836
99_3306_2,78,0.698517
99_3313_2,89,0.7674158
99_3319_2,89,0.36993358
99_3320_2,89,0.6883641
99_3324_2,50,0.6084418
99_3327_2,90,0.7634303
99_3328_2,61,0.8659378
99_3332_2,71,0.30247602
99_3335_2,41,0.33708754
99_3341_2,45,0.76354337
99_3343_2,18,0.8656666
99_3351_2,78,0.6985129
99_3352_2,78,0.5432902
99_3356_2,89,0.36355343
99_3361_2,18,0.81130564
99_3366_2,42,0.34954265
99_3367_2,71,0.68396235
99_3368_2,78,0.698517
99_3371_2,41,0.6830075
99_3372_2,78,0.69851714
99_3373_2,78,0.5432902
99_3374_2,78,0.5432902
99_3376_2,78,0.4745973
99_3377_2,78,0.5432902
99_3384_2,78,0.5432902
99_3387_2,7,0.68357265
99_3394_2,41,0.9279364
99_3396_2,61,0.3697651
99_3397_2,78,0.5432902
99_3398_2,3,0.5019459
99_3405_2,75,0.60363734
99_3410_2,42,0.7047256
99_3411_2,89,0.38386896
