Id,Name,PriorityScore,Remarks
70,lda_road_internet_audio_rule_brother,0,"road, internet, audio, rule, brother, person, 100, muscle, condition, junk"
71,lda_well_app_email_age_help,0,"well, app, email, age, help, frame, movie, quick, recommendation, option"
72,lda_friendly_access_app_hole_Editing,0,"friendly, access, app, hole, Editing, time, collection, friend, touch, note"
73,lda_voice_class_quote_able_little,0,"voice, class, quote, able, little, year, image, 2, old, story"
74,lda_helpful_home_app_business_important,0,"helpful, home, app, business, important, fast, smooth, restaurant, website, TA"
75,lda_application_wonderful_perfect_pic_app,0,"application, wonderful, perfect, pic, app, ability, way, book, smart, color"
76,lda_essential_stop_Evernote_app_list,0,"essential, stop, Evernote, app, list, home, mark, rhubarb, birthday, kitchen"
77,lda_convenient_food_reminder_magazine_support,0,"convenient, food, reminder, magazine, support, notebook, receipt, Nice, sport, clipping"
78,lda_feature_app_improvement_college_student,0,"feature, app, improvement, college, student, sense, watsapp, cloud, sick, jump"
79,lda_year_d_performance_post_app,0,"year, d, performance, post, app, m, OMG, couple, thank, program"
80,lda_suite_Whatsapp_awesomeness_team_workout,0,"suite, Whatsapp, awesomeness, team, workout, office, resource, time, option, 90"
81,lda_star_5_app_issue_little,0,"star, 5, app, issue, little, iPhone, device, direction, 2, option"
82,lda_app_great_memory_Super_upgrade,0,"app, great, memory, Super, upgrade, note, function, feature, way, GPS"
83,lda_app_Facebook_Samsung_interface_look,0,"app, Facebook, Samsung, interface, look, galaxy, note, professional, notebook, wish"
84,lda_app_worth_beautiful_bit_world,0,"app, worth, beautiful, bit, world, reading, TripAdvisor, money, HTC, fact"
85,lda_great_app_way_city_calculator,0,"great, app, way, city, calculator, goal, powerful, group, disease, plenty"
86,lda_favorite_app_project_recipe_solution,0,"favorite, app, project, recipe, solution, diy, map, wonderful, scanner, home"
87,lda_good_app_job_time_gr8,0,"good, app, job, time, gr8, backyard, level, way, close, traveler"
88,lda_idea_creative_intuitive_secret_hard,0,"idea, creative, intuitive, secret, hard, way, inspiration, app, Fun, picture"
89,lda_update_stuff_need_app_people,0,"update, stuff, need, app, people, week, 7, design, thing, recent"
90,lda_setting_app_notification_control_AWESOME,0,"setting, app, notification, control, AWESOME, great, campaign, AI, wind, paper"
91,lda_amazing_app_g_feature_target,0,"amazing, app, g, feature, target, lifesaver, iPad, version, uselful, 100"
92,lda_site_app_deal_people_good,0,"site, app, deal, people, good, great, card, true, Pretty, search"
93,lda_nice_app_follower_addition_option,0,"nice, app, follower, addition, option, 100, boredom, help, resourceful, Update"
94,lda_PDF_app_traveler_restaurant_useful,0,"PDF, app, traveler, restaurant, useful, Dropbox, reader, guy, small, frequent"
95,lda_easy_fantastic_computer_app_interface,0,"easy, fantastic, computer, app, interface, endless, way, ability, phone, satisfied"
96,lda_info_great_past_ton_picture,0,"info, great, past, ton, picture, quality, local, future, related, editor"
97,lda_photo_editor_multiple_app_evernote,0,"photo, editor, multiple, app, evernote, lover, head, Mac, function, little"
98,lda_user_experience_app_slow_screen,0,"user, experience, app, slow, screen, gift, attraction, fan, option, excellent"
99,lda_fun_recipe_simple_app_lot,0,"fun, recipe, simple, app, lot, tip, picture, store, indispensable, way"
100,lda_Evernote_board_list_late_variety,0,"Evernote, board, list, late, variety, planning, safe, possible, fix, collage"
101,lda_thing_place_house_party_able,0,"thing, place, house, party, able, picture, hair, little, thought, makeup"
102,lda_time_app_long_annoying_aap,0,"time, app, long, annoying, aap, verse, thing, thinking, quick, capability"
103,lda_change_forum_review_time_app,0,"change, forum, review, time, app, one, messenger, option, star, Galaxy"
104,lda_cool_app_whatsapp_2_dinner,0,"cool, app, whatsapp, 2, dinner, ad, mod, better, activity, account"
105,lda_free_app_lot_option_neat,0,"free, app, lot, option, neat, money, picture, saving, school, new"
106,lda_Pinterest_app_accurate_datum_time,0,"Pinterest, app, accurate, datum, time, service, thing, huge, way, line"
107,lda_trip_tool_advisor_inspiration_product,0,"trip, tool, advisor, inspiration, product, different, great, wrong, Xperia, road"
108,lda_new_old_device_fine_super,0,"new, old, device, fine, super, crash, design, productivity, list, bug"
109,lda_game_money_graphic_way_car,0,"game, money, graphic, way, car, control, price, paper, student, android"
110,lda_word_app_book_track_superb,0,"word, app, book, track, superb, perfect, today, thumb, load, way"
111,lda_problem_app_family_line_dollar,0,"problem, app, family, line, dollar, camera, holiday, event, huge, daughter"
112,lda_phone_pinterest_app_happy_mobile,0,"phone, pinterest, app, happy, mobile, able, best, layout, game, 80"
113,lda_funny_handy_android_kind_online,0,"funny, handy, android, kind, online, point, open, hope, way, sad"
114,lda_work_tool_personal_plan_month,0,"work, tool, personal, plan, month, able, Evernote, purpose, place, document"
115,lda_excellent_thank_app_category_tab,0,"excellent, thank, app, category, tab, resource, surprised, able, 2, flash"
116,lda_app_meeting_time_little_tough,0,"app, meeting, time, little, tough, mode, great, golf, club, distance"
117,lda_day_life_app_website_time,0,"day, life, app, website, time, ease, guide, battery, moment, title"
118,lda_note_available_app_Evernote_number,0,"note, available, app, Evernote, number, web, time, platform, card, sync"
119,lda_app_sync_great_price_time,0,"app, sync, great, price, time, flight, c, run, touch, way"
