Id,TextTopics,TopicPercentages
99_3004_5,216,0.8651422
99_3011_5,212,0.83742887
99_3013_5,204,0.86544025
99_3023_5,212,0.666237
99_3036_5,175,0.6678243
99_3037_5,194,0.9002502
99_3085_5,200,0.7960671
99_3129_5,181,0.83759993
99_3135_5,221,0.837535
99_3141_5,197,0.63727283
99_3173_5,200,0.7230165
99_3188_5,200,0.7230165
99_3197_5,200,0.7230165
99_3254_5,205,0.8649596
99_3261_5,198,0.615583
99_3262_5,197,0.9276723
99_3267_5,180,0.9389442
99_3315_5,221,0.8853771
99_3347_5,170,0.63776433
99_3355_5,200,0.83862686
99_3358_5,183,0.88502175
99_3370_5,209,0.79381937
99_3420_5,167,0.8154255
99_3425_5,188,0.91111404
99_3441_5,223,0.3962085
99_3442_5,205,0.83677715
99_3449_5,223,0.35105425
99_3455_5,200,0.7230165
99_3456_5,167,0.86747
99_3461_5,167,0.79756474
99_3466_5,167,0.7975647
99_3467_5,200,0.7230165
99_3474_5,212,0.88530284
99_3525_5,213,0.93382376
99_3530_5,223,0.38131508
99_3542_5,173,0.7951631
99_3547_5,223,0.84146297
99_3595_5,223,0.6961738
99_3632_5,208,0.911227
99_3647_5,204,0.9277849
99_3652_5,226,0.8658628
99_3654_5,208,0.8371208
99_3659_5,167,0.6948043
99_3662_5,200,0.5816243
99_3665_5,231,0.83714956
99_3671_5,201,0.8650083
99_3692_5,194,0.92797977
99_3698_5,212,0.88530296
99_3700_5,200,0.7230165
99_3704_5,221,0.5413448
99_3707_5,206,0.8647987
99_3710_5,198,0.8856854
99_3718_5,227,0.9112073
99_3721_5,168,0.5983542
99_3723_5,175,0.9202979
99_3742_5,181,0.86563957
99_3743_5,188,0.88493896
99_3745_5,207,0.8647986
99_3746_5,221,0.837535
99_3755_5,180,0.9111652
99_3768_5,164,0.92752856
99_3782_5,167,0.9216091
99_3784_5,210,0.8997223
99_3786_5,198,0.8659468
99_3789_5,204,0.9204097
99_3803_5,170,0.36766723
99_3804_5,223,0.63276666
99_3810_5,223,0.64581907
99_3815_5,200,0.7230165
99_3830_5,226,0.7719507
99_3843_5,213,0.6284539
99_3847_5,200,0.42530218
99_3855_5,178,0.9393292
99_3858_5,185,0.83700776
99_3859_5,200,0.7230165
99_3863_5,215,0.92765254
99_3869_5,194,0.92797935
99_3871_5,221,0.545016
99_3872_5,208,0.7327155
99_3877_5,174,0.927609
99_3885_5,214,0.4305313
99_3904_5,188,0.9337281
99_3905_5,194,0.79502076
99_3906_5,231,0.6286179
99_3907_5,221,0.5316244
99_3917_5,223,0.3698871
99_3919_5,212,0.86549896
99_3928_5,212,0.88530296
99_3944_5,178,0.8380375
99_3946_5,208,0.8998337
99_3972_5,178,0.8857311
99_3988_5,223,0.93557614
99_4001_5,223,0.7234542
99_4015_5,226,0.79511034
99_4017_5,167,0.79756474
99_4027_5,194,0.8377984
99_4029_5,226,0.6882594
99_4031_5,183,0.92763907
99_4043_5,167,0.7130912
99_4044_5,163,0.56206614
99_4062_5,194,0.86580414
99_4063_5,200,0.60589945
99_4075_5,169,0.62843627
99_4096_5,200,0.8386263
99_4112_5,218,0.8850893
99_4132_5,212,0.7202686
99_4139_5,179,0.910993
99_4140_5,204,0.6751897
99_4158_5,200,0.7230165
99_4169_5,223,0.71270514
99_4176_5,167,0.71508867
99_4179_5,167,0.8674673
99_4181_5,195,0.89992183
99_4182_5,221,0.68342704
99_4189_5,173,0.86589795
99_4197_5,200,0.86648935
99_4200_5,167,0.86746836
99_4206_5,223,0.5456544
99_4224_5,226,0.7351208
99_4226_5,221,0.53949744
99_4248_5,221,0.7946869
99_4249_5,203,0.83699226
99_4254_5,171,0.8371139
99_4257_5,226,0.8856133
99_4260_5,171,0.57829726
99_4265_5,167,0.72438794
99_4267_5,221,0.40422827
99_4294_5,195,0.9338705
99_4301_5,205,0.8649595
99_4303_5,186,0.92749834
99_4312_5,200,0.7230165
99_4327_5,200,0.79606754
99_4333_5,186,0.9200939
99_4337_5,174,0.920216
99_4339_5,168,0.6181463
99_4341_5,173,0.8379117
99_4343_5,200,0.5323325
99_4346_5,168,0.9203415
99_4350_5,175,0.8652514
99_4351_5,215,0.62836784
99_4354_5,178,0.8857311
99_4356_5,172,0.8375746
99_4357_5,167,0.7222418
99_4358_5,215,0.5571549
99_4359_5,167,0.86746925
99_4365_5,231,0.8851058
99_4367_5,200,0.7230165
99_7034_5,181,0.71626955
99_7035_5,214,0.96857333
99_7036_5,180,0.7940208
99_7037_5,226,0.5475421
99_7038_5,168,0.73791474
99_7039_5,176,0.6294445
99_7040_5,169,0.79417664
99_7042_5,194,0.7078685
99_7043_5,214,0.91138
99_7044_5,198,0.91169024
99_7045_5,167,0.9216083
99_7046_5,231,0.88510543
99_7047_5,173,0.39886504
99_7048_5,178,0.95378184
99_7049_5,226,0.9280114
99_7051_5,210,0.8369401
99_7053_5,194,0.92797977
99_7054_5,171,0.8371144
99_7055_5,170,0.9113917
99_7056_5,199,0.92744297
99_7057_5,209,0.9583983
99_7059_5,178,0.62268656
